001E07AF.esd,stNIB-v1_06735,Sotub07g024120
025H10AF.esd,stNIB-v1_06558,Sotub08g026990
027A04AF.esd,stNIB-v1_33655,027A04AF.esd
027B11AF.esd,stNIB-v1_12945,Sotub10g025510
027C01AF.esd,stNIB-v1_08554,Sotub09g030390
027D03AF.esd,stNIB-v1_03822,PGSC0003DMG400006672
027D06AF.esd,stNIB-v1_05694,Sotub09g019580
027D07AF.esd,stNIB-v1_35552,027D07AF.esd
027F04AF.esd,stNIB-v1_04167,Sotub08g012300
027G12AF.esd,stNIB-v1_04474,Sotub03g033810
027H02AF.esd,stNIB-v1_06700,Sotub07g024620
027H06AF.esd,stNIB-v1_08628,Sotub05g023960
028C01AF.esd,stNIB-v1_35519,028C01AF.esd
030C05AF.esd,stNIB-v1_05311,Sotub03g012290
030C09AF.esd,stNIB-v1_07472,Sotub08g006480
030F05AF.esd,stNIB-v1_01448,Sotub09g016050
030F06AF.esd,stNIB-v1_05341,Sotub03g020070
030H05AF.esd,stNIB-v1_17187,Sotub08g010690
032D06AF.esd,stNIB-v1_04176,Sotub06g007940
032H03AF.esd,stNIB-v1_34409,032H03AF.esd
033A03AF.esd,stNIB-v1_02050,Sotub01g049150
033A08AF.esd,stNIB-v1_09376,Sotub11g020860
033A11AF.esd,stNIB-v1_07160,Sotub11g007360
033A12AF.esd,stNIB-v1_04727,Sotub11g017250
033B11AF.esd,stNIB-v1_05617,Sotub03g015820
033C02AF.esd,stNIB-v1_13835,Sotub08g020770
033D12AF.esd,stNIB-v1_03703,Sotub04g028750
033F03AF.esd,stNIB-v1_09856,Sotub05g019190
033F05AF.esd,stNIB-v1_08600,Sotub02g024270
033H05AF.esd,stNIB-v1_00913,Sotub02g034600
042A07AF.esd,stNIB-v1_05312,Sotub03g012330
042C11AF.esd,stNIB-v1_27656,042C11AF.esd
046A08AF.esd,stNIB-v1_00949,Sotub02g033540
046D02AF.esd,stNIB-v1_10168,Sotub08g014360
046E03AF.esd,stNIB-v1_07157,Sotub05g015800
046E08AF.esd,stNIB-v1_14316,PGSC0003DMG400033334
047A11AF.esd,stNIB-v1_04431,Sotub07g022000
047B01AF.esd,stNIB-v1_14237,Sotub07g011690
047E10AF.esd,stNIB-v1_34338,047E10AF.esd
047F08AF.esd,stNIB-v1_08054,Sotub12g027290
048C09AF.esd,stNIB-v1_05832,Sotub03g022580
048G02AF.esd,stNIB-v1_08188,Sotub05g026660
049B05AF.esd,stNIB-v1_02566,Sotub07g023660
050C04AF.esd,stNIB-v1_13103,Sotub07g009420
051C04AF.esd,stNIB-v1_16436,Sotub02g029660
051G06AF.esd,stNIB-v1_06775,Sotub01g042400
052B12AF.esd,stNIB-v1_04055,Sotub07g025140
052E12AF.esd,stNIB-v1_01736,Sotub04g005690
052F08AF.esd,stNIB-v1_10443,Sotub06g009490
052G03AF.esd,stNIB-v1_09228,Sotub07g019730
053B05AF.esd,stNIB-v1_32882,053B05AF.esd
053F02AF.esd,stNIB-v1_10204,Sotub01g011480
053F05AF.esd,stNIB-v1_06472,PGSC0003DMG400011881
054A10AF.esd,stNIB-v1_13358,Sotub08g017360
054B05AF.esd,stNIB-v1_34116,054B05AF.esd
054B06AF.esd,stNIB-v1_16415,Sotub02g023930
054D04AF.esd,stNIB-v1_05531,Sotub04g035870
054D06AF.esd,stNIB-v1_13123,Sotub01g005610
054D12AF.esd,stNIB-v1_02037,Sotub05g010800
054F10AF.esd,stNIB-v1_01684,Sotub01g038530
054G12AF.esd,stNIB-v1_11347,Sotub01g015340
055A08AF.esd,stNIB-v1_11862,Sotub06g013640
055B10AF.esd,stNIB-v1_01526,Sotub04g025150
055C05AF.esd,stNIB-v1_06973,Sotub04g029590
055D06AF.esd,stNIB-v1_05630,PGSC0003DMG400010146
055D12AF.esd,stNIB-v1_05630,PGSC0003DMG400010146
055F12AF.esd,stNIB-v1_02921,Sotub12g026320
056B12AF.esd,stNIB-v1_08109,Sotub11g029720
056C12AF.esd,stNIB-v1_08109,Sotub11g029720
056D12AF.esd,stNIB-v1_14430,Sotub10g019980
056F05AF.esd,stNIB-v1_06186,Sotub10g006650
056F11AF.esd,stNIB-v1_07286,Sotub08g007350
057B09AF.esd,stNIB-v1_14261,Sotub06g027260
057F12AF.esd,stNIB-v1_07943,Sotub03g024050
059A01AF.esd,stNIB-v1_09085,Sotub03g019030
059E05AF.esd,stNIB-v1_13440,PGSC0003DMG400029782
059F09AF.esd,stNIB-v1_05310,Sotub03g012220
059H06AF.esd,stNIB-v1_14133,Sotub01g022590
060C06AF.esd,stNIB-v1_16688,Sotub04g016890
060D03AF.esd,stNIB-v1_12135,Sotub01g029320
061A10AF.esd,stNIB-v1_05498,Sotub04g034980
061F02AF.esd,stNIB-v1_15039,Sotub11g020150
061H01AF.esd,stNIB-v1_13625,PGSC0003DMG400038657
063A07AF.esd,stNIB-v1_07786,Sotub01g010260
063A08AF.esd,stNIB-v1_14232,Sotub04g009060
063D05AF.esd,stNIB-v1_06206,Sotub10g006560
063E01AF.esd,stNIB-v1_15176,Sotub05g023560
063E04AF.esd,stNIB-v1_13664,Sotub06g033260
063G04AF.esd,stNIB-v1_35516,063G04AF.esd
063H04AF.esd,stNIB-v1_12771,Sotub04g010250
063H07AF.esd,stNIB-v1_00704,Sotub12g012740
064B11AF.esd,stNIB-v1_07686,Sotub08g018550
064E10AF.esd,stNIB-v1_13437,Sotub01g041620
066A12AF.esd,stNIB-v1_26252,066A12AF.esd
066D06AF.esd,stNIB-v1_13943,Sotub01g027640
066E05AF.esd,stNIB-v1_01681,Sotub01g038620
066G12AF.esd,stNIB-v1_03935,Sotub01g015590
066H08AF.esd,stNIB-v1_03911,Sotub01g025830
067A05AF.esd,stNIB-v1_10716,Sotub02g021740
067D04AF.esd,stNIB-v1_16435,Sotub02g029590
067E04AF.esd,stNIB-v1_16402,Sotub02g022250
067G11AF.esd,stNIB-v1_27568,067G11AF.esd
068B04AF.esd,stNIB-v1_05173,Sotub11g013310
068B07AF.esd,stNIB-v1_04951,Sotub09g009880
068D12AF.esd,stNIB-v1_27034,068D12AF.esd
068E01AF.esd,stNIB-v1_11419,Sotub08g022620
068G03AF.esd,stNIB-v1_08226,Sotub06g008090
068H11AF.esd,stNIB-v1_10192,Sotub06g005410
069D12AF.esd,stNIB-v1_14246,PGSC0003DMG400032813
069G09AF.esd,stNIB-v1_01288,PGSC0003DMG400002066
069H01AF.esd,stNIB-v1_05772,Sotub02g014720
070E04AF.esd,stNIB-v1_33939,070E04AF.esd
070G06AF.esd,stNIB-v1_34490,070G06AF.esd
071B10AF.esd,stNIB-v1_04229,Sotub03g031410
071C03AF.esd,stNIB-v1_11214,Sotub10g022490
071C12AF.esd,stNIB-v1_15158,Sotub12g012350
071E03AF.esd,stNIB-v1_13685,Sotub05g009290
071G08AF.esd,stNIB-v1_09913,Sotub09g014930
071G11AF.esd,stNIB-v1_09129,Sotub03g025410
072A09AF.esd,stNIB-v1_08790,Sotub09g025750
072B08AF.esd,stNIB-v1_35386,072B08AF.esd
072C04AF.esd,stNIB-v1_05178,Sotub11g015440
072D01AF.esd,stNIB-v1_13039,Sotub06g023660
072E05AF.esd,stNIB-v1_35489,072E05AF.esd
072E06AF.esd,stNIB-v1_14947,Sotub12g030110
072F06AF.esd,stNIB-v1_10858,Sotub01g009470
073B06AF.esd,stNIB-v1_01690,Sotub06g007900
073B12AF.esd,stNIB-v1_33118,073B12AF.esd
073C02AF.esd,stNIB-v1_27446,073C02AF.esd
073F01AF.esd,stNIB-v1_27064,073F01AF.esd
073G02AF.esd,stNIB-v1_13308,Sotub12g027710
073H05AF.esd,stNIB-v1_11867,PGSC0003DMG400025284
074C02AF.esd,stNIB-v1_10168,Sotub08g014360
074D11AF.esd,stNIB-v1_04141,Sotub02g017880
076A03AF.esd,stNIB-v1_01812,Sotub11g027790
076A07AF.esd,stNIB-v1_04689,Sotub11g020240
076H05AF.esd,stNIB-v1_14841,Sotub01g032670
078A07AF.esd,stNIB-v1_07336,Sotub05g021690
078E12AF.esd,stNIB-v1_08816,Sotub07g023170
078F06AF.esd,stNIB-v1_00261,Sotub12g009050
078H09AF.esd,stNIB-v1_34708,078H09AF.esd
081C12AF.esd,stNIB-v1_02945,Sotub04g029930
082D06AF.esd,stNIB-v1_14547,Sotub08g011660
082F07AF.esd,stNIB-v1_27663,082F07AF.esd
082G09AF.esd,stNIB-v1_10285,Sotub02g016810
082H07AF.esd,stNIB-v1_12400,Sotub05g016440
083A04AF.esd,stNIB-v1_10961,Sotub07g006070
083E01AF.esd,stNIB-v1_03515,Sotub09g013910
083E04AF.esd,stNIB-v1_03396,Sotub08g009720
084B04AF.esd,stNIB-v1_15379,Sotub05g029410
084E07AF.esd,stNIB-v1_12839,Sotub09g014910
084F02AF.esd,stNIB-v1_11873,Sotub08g017170
084H04AF.esd,stNIB-v1_07002,Sotub09g008440
085E02AF.esd,stNIB-v1_09329,Sotub11g027610
085F01AF.esd,stNIB-v1_26590,085F01AF.esd
086A09AF.esd,stNIB-v1_33599,086A09AF.esd
086B01AF.esd,stNIB-v1_11961,Sotub01g007970
086D05AF.esd,stNIB-v1_27891,PGSC0003DMG400027808
086D11AF.esd,stNIB-v1_26681,086D11AF.esd
086E07AF.esd,stNIB-v1_04936,Sotub10g028400
086E08AF.esd,stNIB-v1_27503,086E08AF.esd
087E03AF.esd,stNIB-v1_04447,Sotub06g019190
087F02AF.esd,stNIB-v1_08291,Sotub04g010810
087G12AF.esd,stNIB-v1_00901,Sotub02g035150
088B08AF.esd,stNIB-v1_08019,Sotub12g005710
088C04AF.esd,stNIB-v1_27624,088C04AF.esd
088G12AF.esd,stNIB-v1_34001,088G12AF.esd
089F04AF.esd,stNIB-v1_03619,Sotub01g016450
089G03AF.esd,stNIB-v1_10232,Sotub08g008740
089G09AF.esd,stNIB-v1_01869,Sotub02g017570
089H10AF.esd,stNIB-v1_10155,Sotub01g039920
090A07AF.esd,stNIB-v1_02131,Sotub02g027600
090D11AF.esd,stNIB-v1_13036,Sotub06g023760
090G05AF.esd,stNIB-v1_00501,Sotub01g047210
090H11AF.esd,stNIB-v1_16109,Sotub01g017680
091B08AF.esd,stNIB-v1_07063,Sotub07g021330
091F04AF.esd,stNIB-v1_27231,091F04AF.esd
091G05AF.esd,stNIB-v1_03333,Sotub03g033090
091G06AF.esd,stNIB-v1_10831,Sotub06g018300
091H07AF.esd,stNIB-v1_01092,Sotub09g006760
092A01AF.esd,stNIB-v1_00409,Sotub03g029800
092A10AF.esd,stNIB-v1_10710,PGSC0003DMG400022355
092B11AF.esd,stNIB-v1_11019,Sotub08g015930
092D05AF.esd,stNIB-v1_27170,092D05AF.esd
092G06AF.esd,stNIB-v1_00873,Sotub01g045150
093B06AF.esd,stNIB-v1_05341,Sotub03g020070
093D11AF.esd,stNIB-v1_12729,Sotub07g025700
093F12AF.esd,stNIB-v1_08938,Sotub10g028790
093G09AF.esd,stNIB-v1_04723,Sotub04g026200
094F12AF.esd,stNIB-v1_09411,Sotub04g025620
095B01AF.esd,stNIB-v1_14893,Sotub03g035730
095C01AF.esd,stNIB-v1_06114,Sotub06g013660
095G02AF.esd,stNIB-v1_02573,Sotub08g016570
095H05AF.esd,stNIB-v1_08179,Sotub06g011990
096B08AF.esd,stNIB-v1_25675,096B08AF.esd
096F03AF.esd,stNIB-v1_04542,Sotub11g026170
096F04AF.esd,stNIB-v1_25697,096F04AF.esd
097C08AF.esd,stNIB-v1_14982,Sotub01g049130
097E01AF.esd,stNIB-v1_09923,Sotub02g037680
097E08AF.esd,stNIB-v1_06517,Sotub06g030660
097G01AF.esd,stNIB-v1_02699,Sotub08g006040
098A02AF.esd,stNIB-v1_17407,Sotub09g030580
098C07AF.esd,stNIB-v1_07250,Sotub05g013430
098C12AF.esd,stNIB-v1_09172,Sotub01g039180
098D03AF.esd,stNIB-v1_00008,Sotub01g031200
098E09AF.esd,stNIB-v1_06518,Sotub06g030700
098G02AF.esd,stNIB-v1_04579,Sotub11g025970
098G03AF.esd,stNIB-v1_04431,Sotub07g022000
098H08AF.esd,stNIB-v1_05327,Sotub07g010850
098H09AF.esd,stNIB-v1_06217,Sotub01g021000
099A07AF.esd,stNIB-v1_03247,Sotub06g012010
099B08AF.esd,stNIB-v1_16116,Sotub01g018800
099B09AF.esd,stNIB-v1_33431,MICRO.16438.C1
099C11AF.esd,stNIB-v1_05212,Sotub12g026130
099E10AF.esd,stNIB-v1_10149,Sotub01g040050
099E12AF.esd,stNIB-v1_16254,Sotub11g015620
099H08AF.esd,stNIB-v1_34102,099H08AF.esd
100A05AF.esd,stNIB-v1_01070,Sotub10g010690
100A09AF.esd,stNIB-v1_08179,Sotub06g011990
100F03AF.esd,stNIB-v1_11743,Sotub02g031270
101C03AF.esd,stNIB-v1_01443,Sotub05g020370
101C10AF.esd,stNIB-v1_04278,Sotub07g025710
101G11AF.esd,stNIB-v1_01732,Sotub04g005480
102A04AF.esd,stNIB-v1_12497,Sotub03g022540
102C11AF.esd,stNIB-v1_01355,Sotub12g028290
102D10AF.esd,stNIB-v1_14491,Sotub09g019890
102D11AF.esd,stNIB-v1_17321,Sotub09g013340
102H09AF.esd,stNIB-v1_17187,Sotub08g010690
103A07AF.esd,stNIB-v1_05060,Sotub11g028900
103B01AF.esd,stNIB-v1_01816,Sotub11g028280
103C01AF.esd,stNIB-v1_02099,Sotub02g028360
103E06AF.esd,stNIB-v1_11676,Sotub04g024990
103F05AF.esd,stNIB-v1_28091,PGSC0003DMG400008906
104A06AF.esd,stNIB-v1_04481,Sotub04g031700
104F10AF.esd,stNIB-v1_13667,Sotub06g033320
104H08AF.esd,stNIB-v1_14220,Sotub04g009450
106A05AF.esd,stNIB-v1_04727,Sotub11g017250
106C08AF.esd,stNIB-v1_34105,106C08AF.esd
106C09AF.esd,stNIB-v1_10920,Sotub11g015830
106E06AF.esd,stNIB-v1_01051,Sotub01g047900
106G08AF.esd,stNIB-v1_14534,Sotub09g007810
106H01AF.esd,stNIB-v1_02954,Sotub12g024040
106H02AF.esd,stNIB-v1_13945,Sotub01g027560
106H04AF.esd,stNIB-v1_03050,Sotub04g033430
106H06AF.esd,stNIB-v1_12941,Sotub10g025760
106H07AF.esd,stNIB-v1_05950,Sotub12g024760
108A11AF.esd,stNIB-v1_04863,Sotub07g027760
108B09AF.esd,stNIB-v1_17770,Sotub12g029530
108B12AF.esd,stNIB-v1_27045,108B12AF.esd
108C11AF.esd,stNIB-v1_03475,Sotub04g005990
108D09AF.esd,stNIB-v1_35532,108D09AF.esd
109E10AF.esd,stNIB-v1_00605,Sotub06g019540
109E11AF.esd,stNIB-v1_01063,Sotub01g028580
109F05AF.esd,stNIB-v1_03222,PGSC0003DMG400005503
109F09AF.esd,stNIB-v1_04364,Sotub09g015620
110C06AF.esd,stNIB-v1_01133,Sotub04g024560
110G02AF.esd,stNIB-v1_08553,Sotub09g030460
110G11AF.esd,stNIB-v1_27125,110G11AF.esd
111A08AF.esd,stNIB-v1_27723,111A08AF.esd
111F08AF.esd,stNIB-v1_14595,Sotub01g043030
111G08AF.esd,stNIB-v1_34542,111G08AF.esd
111G12AF.esd,stNIB-v1_27539,111G12AF.esd
112D04AF.esd,stNIB-v1_12388,Sotub08g012500
112H02AF.esd,stNIB-v1_03047,Sotub04g033520
115A07AF.esd,stNIB-v1_09139,Sotub03g025690
115F11AF.esd,stNIB-v1_17039,Sotub08g007160
116E04AF.esd,stNIB-v1_34328,116E04AF.esd
116G09AF.esd,stNIB-v1_35526,116G09AF.esd
116H09AF.esd,stNIB-v1_16109,Sotub01g017680
117B08AF.esd,stNIB-v1_05486,Sotub12g028090
117E11AF.esd,stNIB-v1_17491,Sotub10g019860
117F02AF.esd,stNIB-v1_04278,Sotub07g025710
119B06AF.esd,stNIB-v1_12483,Sotub06g027790
120E10AF.esd,stNIB-v1_13386,Sotub09g027750
121D10AF.esd,stNIB-v1_02763,Sotub12g030210
121E07AF.esd,stNIB-v1_12825,Sotub09g006720
121F03AF.esd,stNIB-v1_07331,Sotub05g021970
121H02AF.esd,stNIB-v1_04579,Sotub11g025970
129D05AF.esd,stNIB-v1_27921,Sotub04g027870
129D12AF.esd,stNIB-v1_27197,129D12AF.esd
130A12AF.esd,stNIB-v1_27522,130A12AF.esd
130B05AF.esd,stNIB-v1_17416,Sotub10g005670
130E10AF.esd,stNIB-v1_04723,Sotub04g026200
130F05AF.esd,stNIB-v1_35389,130F05AF.esd
130G12AF.esd,stNIB-v1_16606,Sotub03g033790
131A05AF.esd,stNIB-v1_06188,Sotub07g027620
131E01AF.esd,stNIB-v1_06465,Sotub10g018620
131H05AF.esd,stNIB-v1_28148,PGSC0003DMG400013813
132B02AF.esd,stNIB-v1_27264,132B02AF.esd
132E09AF.esd,stNIB-v1_17363,Sotub09g020530
132G11AF.esd,stNIB-v1_15750,Sotub05g007630
133A11AF.esd,stNIB-v1_05193,Sotub11g015210
133C09AF.esd,stNIB-v1_10232,Sotub08g008740
133D02AF.esd,stNIB-v1_15488,Sotub04g027180
133H03AF.esd,stNIB-v1_13969,Sotub04g021740
134C07AF.esd,stNIB-v1_16262,Sotub01g041310
134E05AF.esd,stNIB-v1_27769,134E05AF.esd
134H01AF.esd,stNIB-v1_07654,Sotub10g005070
134H08AF.esd,stNIB-v1_02356,Sotub08g025570
135B03AF.esd,stNIB-v1_11975,Sotub06g025730
135D01AF.esd,stNIB-v1_17769,Sotub12g029520
135H05AF.esd,stNIB-v1_03945,Sotub11g024880
137C11AF.esd,stNIB-v1_12466,Sotub06g029320
137E10AF.esd,stNIB-v1_02599,Sotub01g025220
137F10AF.esd,stNIB-v1_05203,Sotub08g022350
137G04AF.esd,stNIB-v1_02140,Sotub02g027170
137H08AF.esd,stNIB-v1_15119,Sotub08g028670
138C01AF.esd,stNIB-v1_07786,Sotub01g010260
140A01AF.esd,stNIB-v1_35505,140A01AF.esd
140D09AF.esd,stNIB-v1_16749,Sotub04g024950
140E04AF.esd,stNIB-v1_11550,Sotub03g026850
140F10AF.esd,stNIB-v1_02344,Sotub08g019780
142D10AF.esd,stNIB-v1_07546,Sotub12g021290
145C05AF.esd,stNIB-v1_00969,PGSC0003DMG400001519
146C04AF.esd,stNIB-v1_17053,Sotub07g007880
146C07AF.esd,stNIB-v1_06843,Sotub02g036840
146D07AF.esd,stNIB-v1_07609,Sotub06g015770
146G11AF.esd,stNIB-v1_05629,Sotub03g016050
147A04AF.esd,stNIB-v1_17053,Sotub07g007880
147A05AF.esd,stNIB-v1_27789,147A05AF.esd
147A09AF.esd,stNIB-v1_06960,Sotub06g034720
147D05AF.esd,stNIB-v1_10223,Sotub04g021600
147F06AF.esd,stNIB-v1_05629,Sotub03g016050
147F09AF.esd,stNIB-v1_07364,Sotub01g010750
147F10AF.esd,stNIB-v1_13808,Sotub04g028020
148A12AF.esd,stNIB-v1_06682,Sotub06g009110
148B11AF.esd,stNIB-v1_17044,Sotub07g006230
148C02AF.esd,stNIB-v1_05345,Sotub08g015600
148C05AF.esd,stNIB-v1_10946,Sotub09g028360
148E03AF.esd,stNIB-v1_14858,Sotub01g046940
148E04AF.esd,stNIB-v1_26313,148E04AF.esd
148F01AF.esd,stNIB-v1_01087,Sotub01g028830
148G01AF.esd,stNIB-v1_11688,Sotub01g040190
148G03AF.esd,stNIB-v1_01240,Sotub11g010910
148G08AF.esd,stNIB-v1_00039,Sotub01g032600
149C03AF.esd,stNIB-v1_07470,Sotub12g023040
149E02AF.esd,stNIB-v1_00799,Sotub05g013740
149E07AF.esd,stNIB-v1_01766,Sotub12g008710
150B04AF.esd,stNIB-v1_04431,Sotub07g022000
150C02AF.esd,stNIB-v1_05313,Sotub03g012340
150C09AF.esd,stNIB-v1_08648,Sotub09g021880
150H05AF.esd,stNIB-v1_00049,Sotub01g032770
153A03AF.esd,stNIB-v1_05341,Sotub03g020070
153D07AF.esd,stNIB-v1_05634,Sotub03g016120
153G07AF.esd,stNIB-v1_01062,Sotub01g028550
154A01AF.esd,stNIB-v1_06851,Sotub02g028750
154E07AF.esd,stNIB-v1_00580,Sotub05g028850
154H04AF.esd,stNIB-v1_08349,Sotub11g008830
155B08AF.esd,stNIB-v1_14575,Sotub05g019170
155H02AF.esd,stNIB-v1_08255,Sotub05g017850
156A04AF.esd,stNIB-v1_01240,Sotub11g010910
156AF.esd,stNIB-v1_33476,156AF.esd
156B12AF.esd,stNIB-v1_05311,Sotub03g012290
156C06AF.esd,stNIB-v1_17269,Sotub08g022140
156F07AF.esd,stNIB-v1_17602,Sotub11g017590
156F08AF.esd,stNIB-v1_07504,Sotub03g031230
156H01AF.esd,stNIB-v1_04092,Sotub06g031130
157A05AF.esd,stNIB-v1_09567,Sotub07g026900
157A08AF.esd,stNIB-v1_10054,Sotub08g006230
157A11AF.esd,stNIB-v1_16328,Sotub02g007550
157B04AF.esd,stNIB-v1_14393,Sotub10g015690
157B11AF.esd,stNIB-v1_13788,Sotub07g007540
157E04AF.esd,stNIB-v1_02429,Sotub02g031960
157E07AF.esd,stNIB-v1_14893,Sotub03g035730
157G11AF.esd,stNIB-v1_00799,Sotub05g013740
158F01AF.esd,stNIB-v1_14244,PGSC0003DMG400032804
158H04AF.esd,stNIB-v1_11697,Sotub01g040480
158H08AF.esd,stNIB-v1_02588,PGSC0003DMG400004338
159B04AF.esd,stNIB-v1_05310,Sotub03g012220
159C06AF.esd,stNIB-v1_06147,Sotub03g031100
159F07AF.esd,stNIB-v1_12833,Sotub07g008720
159G02AF.esd,stNIB-v1_13306,Sotub12g027890
159H05AF.esd,stNIB-v1_10358,Sotub01g007850
159H09AF.esd,stNIB-v1_02718,Sotub12g030720
159x16AF.esd,stNIB-v1_12461,Sotub06g028680
160A07AF.esd,stNIB-v1_03889,Sotub01g026560
160E04AF.esd,stNIB-v1_07081,Sotub12g020610
160E10AF.esd,stNIB-v1_03700,Sotub04g028900
160F12AF.esd,stNIB-v1_15805,PGSC0003DMG402017090
163G02AF.esd,stNIB-v1_09233,Sotub07g019850
163G05AF.esd,stNIB-v1_08956,Sotub09g017750
163G08AF.esd,stNIB-v1_13364,Sotub08g017760
163G10AF.esd,stNIB-v1_11385,Sotub08g006700
164B05AF.esd,stNIB-v1_12106,Sotub01g045070
164D12AF.esd,stNIB-v1_04687,Sotub03g018730
164F10AF.esd,stNIB-v1_03703,Sotub04g028750
167A08AF.esd,stNIB-v1_06373,Sotub05g024860
167A09AF.esd,stNIB-v1_06373,Sotub05g024860
167A12AF.esd,stNIB-v1_02025,PGSC0003DMG400023237
167B08AF.esd,stNIB-v1_03220,Sotub08g019770
167C08AF.esd,stNIB-v1_03557,Sotub07g017890
167C11AF.esd,stNIB-v1_07641,Sotub10g005630
167E07AF.esd,stNIB-v1_04579,Sotub11g025970
167G02AF.esd,stNIB-v1_04579,Sotub11g025970
167G08AF.esd,stNIB-v1_15274,Sotub07g008190
168A07AF.esd,stNIB-v1_00369,Sotub03g017350
168B05AF.esd,stNIB-v1_12971,Sotub05g005130
168C11AF.esd,stNIB-v1_27169,168C11AF.esd
168E03AF.esd,stNIB-v1_10196,Sotub06g005390
168H01AF.esd,stNIB-v1_01689,Sotub01g038390
170A04AF.esd,stNIB-v1_00531,Sotub04g023130
171A05AF.esd,stNIB-v1_11246,Sotub10g021890
171B03AF.esd,stNIB-v1_07035,PGSC0003DMG400013061
171D10AF.esd,stNIB-v1_08647,Sotub09g021870
171F04AF.esd,stNIB-v1_05310,Sotub03g012220
171G05AF.esd,stNIB-v1_09890,Sotub06g034820
171G08AF.esd,stNIB-v1_13641,Sotub06g032050
171H03AF.esd,stNIB-v1_12779,Sotub01g030760
172D11AF.esd,stNIB-v1_09307,Sotub03g012980
172F06AF.esd,stNIB-v1_09946,Sotub02g037510
172H01AF.esd,stNIB-v1_09395,Sotub04g007270
174A09AF.esd,stNIB-v1_05311,Sotub03g012290
174D01AF.esd,stNIB-v1_02695,Sotub03g012450
174D11AF.esd,stNIB-v1_11205,Sotub04g011640
174E06AF.esd,stNIB-v1_15731,Sotub09g022360
174G02AF.esd,stNIB-v1_03114,Sotub05g021450
174G07AF.esd,stNIB-v1_03712,Sotub04g027980
174H11AF.esd,stNIB-v1_16763,Sotub04g027840
176A04AF.esd,stNIB-v1_07586,Sotub04g022970
176A06AF.esd,stNIB-v1_11823,Sotub01g046690
176C10AF.esd,stNIB-v1_14866,Sotub01g011230
177C05AF.esd,stNIB-v1_15936,Sotub01g036160
177E05AF.esd,stNIB-v1_11356,Sotub06g035060
177H11AF.esd,stNIB-v1_02303,Sotub06g007360
178C07AF.esd,stNIB-v1_10093,Sotub09g028830
178C10AF.esd,stNIB-v1_33352,178C10AF.esd
178G07AF.esd,stNIB-v1_02041,Sotub09g014880
180C09AF.esd,stNIB-v1_11120,Sotub05g028010
180D11AF.esd,stNIB-v1_16718,Sotub04g020070
180G10AF.esd,stNIB-v1_12841,Sotub01g047550
180H10AF.esd,stNIB-v1_02395,Sotub11g005960
181E09AF.esd,stNIB-v1_02273,Sotub04g034740
181F06AF.esd,stNIB-v1_13808,Sotub04g028020
186A07.esd,stNIB-v1_05632,Sotub03g016080
186A10.esd,stNIB-v1_09859,Sotub05g026240
186E03.esd,stNIB-v1_03020,Sotub07g029300
186H05.esd,stNIB-v1_12322,Sotub03g017970
186H09.esd,stNIB-v1_10770,Sotub01g035860
187B05.esd,stNIB-v1_05341,Sotub03g020070
187E12.esd,stNIB-v1_02593,Sotub01g022760
187F02.esd,stNIB-v1_17601,Sotub11g017580
187G04.esd,stNIB-v1_00661,PGSC0003DMG400001024
